Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2448192.601528679,0.0,828206.5528,66.9746834255226,4302206.8743286785,0.015567518109173542
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2230188.7145004296,0.0,862273.7771000001,66.9746834255226,4118270.21160043,0.016262819092556603
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2113774.64277175,0.0,797139.9745,66.9746834255226,3936722.3372717504,0.017012803466331786
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2045873.9551946297,0.0,763517.1798,66.9746834255226,3835198.8549946295,0.017463157963321926
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2011529.6409947365,0.0,777556.7969,66.9746834255226,3814894.1578947366,0.017556105268850455
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2102121.9259901987,26267.237772353976,800136.1747,66.9746834255226,3954333.0584625523,0.016937036520530822
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1884267.9622225002,347187.46042122855,859826.8219999999,66.9746834255226,4117089.964643729,0.016267481157973246
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1788517.5068466498,772153.9356797005,764092.5615000001,66.9746834255226,4350571.72402635,0.015394455642611295
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1822323.826845043,988362.0522271591,781787.2599,66.9746834255226,4618280.858972202,0.014502081071013037
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2062129.3400979429,1119672.011704404,708637.9138,66.9746834255226,4916246.985602347,0.013623132365331468
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2044513.0715133077,1147801.8612397388,741612.0992,66.9746834255226,4959734.751953047,0.013503682510269179
