Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_diesel_dispatched,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_diesel_dispatched,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2345659.8389661894,0.0,588098.037167,66.9746834255226,3959565.5961331897,0.016914654347670956
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2203636.568562137,0.0,560833.93915,66.9746834255226,3790278.2277121367,0.01767012324737686
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2123829.077061013,0.0,473552.599287,66.9746834255226,3623189.396348013,0.018485007571790096
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2081515.81677466,0.0,422428.026061,66.9746834255226,3529751.56283566,0.018974333528368168
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2072114.9864425447,0.0,413141.289261,66.9746834255226,3511063.9957035445,0.019075324034958884
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2155649.5596167794,17113.703316353978,441144.738458,66.9746834255226,3639715.721391134,0.018401075400450294
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2076068.1213719244,165744.12556122855,527248.237175,66.9746834255226,3794868.204108153,0.017648750845422993
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2202357.8891745685,370883.2461397004,417672.630145,66.9746834255226,4016721.4854592686,0.016673967480188578
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2319006.900925792,522039.49929715914,398661.607369,66.9746834255226,4265515.72759195,0.01570142690889395
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2554230.912004395,630435.6058444041,330319.182104,66.9746834255226,4540793.4199528,0.014749555249800107
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2505107.145337345,650505.3038497388,399720.696961,66.9746834255226,4581140.8661480835,0.014619651606966688
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2498954.7384745744,690306.2271205585,396362.53264,66.9746834255226,4611431.218235133,0.014523621898703036
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2450986.7844423526,638223.31683028,429542.22068,66.9746834255226,4544560.041952633,0.014737330524242781
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2348874.2225583666,662389.6261571898,398564.84314,66.9746834255226,4435636.411855556,0.015099227530577769
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2372413.696074273,649887.7289560542,366505.946536,66.9746834255226,4414615.091566327,0.015171126369198281
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2380161.4370188257,549764.0859511311,426671.230501,66.9746834255226,4382404.473470956,0.015282633958356941
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2599907.110581889,408679.2703388645,434000.731421,66.9746834255226,4468394.832341753,0.014988533005357354
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2910953.509987022,290770.74682100466,376483.224224,66.9746834255226,4604015.201032027,0.014547016137242484
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3159507.858619337,166222.48928524234,332530.818073,66.9746834255226,4684068.885977579,0.014298398477020857
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3216971.8802907267,30902.958932437177,329588.315493,66.9746834255226,4603270.874716164,0.014549368318381274
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3218723.326671629,67.37832729594248,262398.298614,66.9746834255226,4506996.723612925,0.014860158001586911
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3326860.9589887066,0.0,211494.6625795,66.9746834255226,4564163.341568206,0.014674032985530857
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3128220.1579249217,0.0,203472.960958,66.9746834255226,4357500.838882922,0.015369976025682663
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2847751.8416134147,0.0,227811.687581,66.9746834255226,4101371.2491944144,0.01632982711298756
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2504864.955852065,0.0,261804.088917,66.9746834255226,3792476.764769065,0.017659879698590817
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2284506.4627192887,0.0,297485.452082,66.9746834255226,3607799.634801288,0.018563858918182817
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2138200.469704007,0.0,329467.50847,66.9746834255226,3493475.6981740063,0.019171360905853557
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2099390.1494479165,0.0,307818.05429,66.9746834255226,3433015.9237379166,0.019508992941867746
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2102318.41377667,0.0,315882.47632,66.9746834255226,3444008.61009667,0.019446723573563505
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2233419.714935368,11483.860561017904,328665.09578,66.9746834255226,3599376.3912763856,0.01860730197259879
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2321402.545423603,132336.9554107847,330282.16852,66.9746834255226,3809829.3893543878,0.0175794442692543
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2447004.350965166,267357.5569123893,336139.93376,66.9746834255226,4076309.5616375552,0.01643022503880132
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2580908.7239509146,417684.0073377292,336900.6869,66.9746834255226,4361301.138188644,0.015356583116693205
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2663818.83075405,542437.871616798,416484.55037,66.9746834255226,4648548.972740848,0.014407653617991985
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2707922.658530984,579315.0055949163,372740.74364,66.9746834255226,4685786.1277659,0.0142931584155453
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2711636.4314216133,555181.0796516855,373670.68589,66.9746834255226,4666295.916963299,0.014352858159305924
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2588614.801067697,577709.8147739631,435343.94074,66.9746834255226,4627476.27658166,0.014473263485857812
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2442474.17709319,603719.7214617326,506183.45278,66.9746834255226,4578185.071334923,0.014629090432552979
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2481917.667953924,545685.0140118161,540987.00457,66.9746834255226,4594397.40653574,0.014577468490263394
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2453919.4403607,441954.05925512005,660984.52083,66.9746834255226,4582665.74044582,0.014614786942546466
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2649942.185093896,342231.7963338038,668041.85398,66.9746834255226,4686023.5554077,0.014292434221384442
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2946965.9779160484,239334.55894852593,634121.18218,66.9746834255226,4846229.439044574,0.0138199571992874
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3124186.3975000205,127966.44258972837,612578.87085,66.9746834255226,4890539.430939748,0.01369474356996504
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3207649.3237198847,19801.98293309358,535150.08941,66.9746834255226,4788409.116062978,0.013986833998968965
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3169634.5775487954,67.35540022258272,478575.90361,66.9746834255226,4674085.556559018,0.014328938273613506
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3281397.0225357786,0.0,381175.95349,66.9746834255226,4688380.696025779,0.014285248525636013
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2956875.19105362,0.0,431979.89668,66.9746834255226,4414662.8077336205,0.015170962391101791
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2763856.9657457788,0.0,338089.01028,66.9746834255226,4127753.6960257785,0.016225455382671245
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2419632.5883735013,0.0,371220.36617,66.9746834255226,3816660.6745435013,0.017547979539347763
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2242083.0951172607,0.0,362993.46093,66.9746834255226,3630884.2760472605,0.018445832566835255
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2176284.7283498063,0.0,341949.60643,66.9746834255226,3544042.0547798066,0.018897824120115803
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2140186.4416975724,0.0,321985.19276,66.9746834255226,3487979.354457572,0.01920157105859305
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2212974.482217196,0.0,289870.09209,66.9746834255226,3528652.294307196,0.018980244535165284
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2528536.9420973943,14204.939292957975,182341.25971,66.9746834255226,3750890.8611003524,0.017855673733432772
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2622727.899630944,150370.74227977934,274381.0088,66.9746834255226,4073287.370710723,0.016442415506234365
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2990934.62258735,296960.17015017907,141401.71659,66.9746834255226,4455104.22932753,0.015033247254830672
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3218811.697239608,452340.71780652966,86875.05356,66.9746834255226,4783835.188606137,0.014000207111030713
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3302520.193950162,520936.1357100191,170890.66633,66.9746834255226,5020154.715990181,0.013341159230052222
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3252842.88015667,591270.0924104871,188194.73303,66.9746834255226,5058115.425597157,0.01324103500813559
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3333780.3364660693,639212.9517957211,55250.91587,66.9746834255226,5054051.92413179,0.01325168091481922
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3321379.4368395563,614921.911833602,58596.765683,66.9746834255226,5020705.834356158,0.013339694782996831
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3277480.603089927,594409.4030040151,70733.87140999999,66.9746834255226,4968431.597503942,0.013480045384778884
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3353257.179066812,529478.8953741168,72464.36117,66.9746834255226,4981008.155610929,0.013446009589459915
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3422364.135563214,424075.79452814144,89810.78675,66.9746834255226,4962058.436841356,0.013497358863866174
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3524160.3481993214,349315.07479417534,170006.85495,66.9746834255226,5069289.997943496,0.013211846915976955
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3564405.683188897,278485.9850353337,325844.87088,66.9746834255226,5194544.259104231,0.012893274190154267
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3774318.745441772,131139.10206933643,259223.6645,66.9746834255226,5190489.232011108,0.012903346954747959
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3775188.6923398767,27462.902472866193,214572.30664,66.9746834255226,5043031.621452742,0.013280639197386047
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3737000.394106326,55.495993776991966,147565.51986,66.9746834255226,4910429.129960104,0.013639272994877081
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3762855.242865821,0.0,154748.05432,66.9746834255226,4943411.017185821,0.013548273285932406
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3479496.2206536634,0.0,164389.18824,66.9746834255226,4669693.128893663,0.01434241642370837
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3196890.3431131397,0.0,146894.730657,66.9746834255226,4369592.79377014,0.015327442758741826
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2871478.146524644,0.0,149121.950876,66.9746834255226,4046407.817400644,0.016551639490590495
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2621582.523985865,0.0,195652.877389,66.9746834255226,3843043.121374865,0.017427512861620486
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2456699.1856220053,0.0,245113.009523,66.9746834255226,3727619.9151450056,0.017967143901504043
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2348359.719715205,0.0,302886.118824,66.9746834255226,3677053.5585392048,0.01821422569981
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2306506.0110483933,0.0,361228.857566,66.9746834255226,3693542.588614393,0.018132912188958322
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2491415.221289051,7792.332772563634,405480.581352,66.9746834255226,3930495.8554136152,0.01703975424201909
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2647271.0569992573,146995.66833010255,447536.464523,66.9746834255226,4267610.90985236,0.015693718298194062
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2785584.874973235,364481.46296522225,442592.812947,66.9746834255226,4618466.870885458,0.014501496989775339
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2957962.258169169,519919.9778796632,438123.196047,66.9746834255226,4941813.152095832,0.013552653927661857
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3051826.1658538803,631417.9702494711,477995.86845,66.9746834255226,5187047.724553351,0.012911908079906801
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3015883.6254718145,661699.5734653292,486394.87224,66.9746834255226,5189785.791177144,0.012905095917327147
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2932117.2509609424,742840.5208850469,490474.16709,66.9746834255226,5191239.658935988,0.012901481693343729
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2952334.984926154,701914.6137812447,501362.11897,66.9746834255226,5181419.437677398,0.01292593356532904
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2898335.746499889,651734.0161351664,586924.30522,66.9746834255226,5162801.787855055,0.012972545950354603
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3029883.290751947,590700.7416108476,558128.73605,66.9746834255226,5204520.488412794,0.012868559855731813
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3010528.6474450934,551379.5331562457,592620.02152,66.9746834255226,5180335.9221213395,0.012928637144846886
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3136420.130145001,459075.71693994524,632154.59265,66.9746834255226,5253458.159734946,0.01274868503547798
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3345423.0624409663,324777.2965675201,667309.70572,66.9746834255226,5363317.784728486,0.012487547095610547
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3480097.388635712,157510.61446609156,686665.73758,66.9746834255226,5350081.4606818035,0.01251844180648933
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3446814.482729901,26049.742096117698,693075.299316,66.9746834255226,5191747.244142019,0.012900220345104789
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3385741.6840721257,0.3617036155406384,643986.627097,66.9746834255226,5055536.392872741,0.013247789793372475
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3409465.134322565,0.0,604873.801961,66.9746834255226,5040146.656283565,0.013288240996325985
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,3079967.940753013,0.0,638667.735595,66.9746834255226,4744443.396348013,0.014116446931809891
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2754842.3696238818,0.0,666990.777186,66.9746834255226,4447640.866809881,0.01505847379119909
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2379836.7010154147,0.0,695726.828179,66.9746834255226,4101371.2491944144,0.01632982711298756
0.0,0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,0.0,1025807.72,2229591.480586854,0.0,654699.307469,66.9746834255226,3910098.5080558537,0.017128643507967063
