house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Manufacture_SH_MJ,Manufacture_WH_MJ,Manufacture_MJ,Distribution_SH_MJ,Distribution_WH_MJ,Distribution_MJ,Installation_SH_MJ,Installation_WH_MJ,Installation_MJ,EOL_SH_MJ,EOL_WH_MJ,EOL_MJ,Other_SH_MJ,Other_WH_MJ,Other_MJ,Embodied_life,Total_life,Embodied_life_R,Total_life_R,Embodied_life_MJ,Total_life_MJ,CS_code
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,239.89145069,243.63227007,7775.3881086,483.52372076,0.134813569,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,74.17019318,159.88840098999998,480.3524114000001,285.3529412,765.7053526,32134.63109,16543.06782,48677.69891,581.3213807,409.8029855,991.1243662,1385.819188,92.10192421,1477.9211122099998,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3735.0389891600007,4218.562709920001,2795.60752997,3279.13125073,66299.78757521,94268.80954859128,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,239.89145069,360.72419127,10125.3343107,600.6156419600001,0.17737641999999998,1215.547618,517.4042666,1732.9518846,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,74.17019318,159.88840098999998,480.3524114000001,285.3529412,765.7053526,32134.63109,16543.06782,48677.69891,581.3213807,409.8029855,991.1243662,1385.819188,92.10192421,1477.9211122099998,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3735.0389891600007,4335.654631120001,2795.60752997,3396.2231719300003,66299.78757521,102721.85344103732,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,239.89145069,505.59033701,12801.131721000002,745.4817877,0.204197,1215.547618,597.3918213,1812.9394393,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,81.10948345,166.82769126,480.3524114000001,285.3529412,765.7053526,32134.63109,17918.46961,50053.100699999995,581.3213807,516.8474663,1098.168847,1385.819188,136.149074,1521.968262,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3831.05644724,4576.538234940001,2891.62498805,3637.10677575,67826.2809958,113873.51740227484,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,239.89145069,671.3313108899999,16193.1978285,911.22276158,0.216634734,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,99.6142575,185.33246531,480.3524114000001,285.3529412,765.7053526,32134.63109,21586.20772,53720.838809999994,581.3213807,802.2994150000001,1383.6207957,1385.819188,253.60814010000001,1639.4273281,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,4087.103002280001,4998.325763860001,3147.67154309,4058.89430467,71896.9301206,130145.84317275826,C0
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,239.89145069,801.46538657,18558.0354939,1041.35683726,0.254453433,1215.547618,810.6919673000001,2026.2395853,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,99.6142575,185.33246531,480.3524114000001,285.3529412,765.7053526,32134.63109,21586.20772,53720.838809999994,581.3213807,802.2994150000001,1383.6207957,1385.819188,253.60814010000001,1639.4273281,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,4087.103002280001,5128.459839540001,3147.67154309,4189.02838035,71896.9301206,138652.4534799525,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,239.89145069,253.60638601,7962.0526881,493.4978367,0.13431165099999998,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,78.33376735,164.05197515999998,480.3524114000001,285.3529412,765.7053526,32134.63109,17368.3089,49502.93999,581.3213807,474.029674,1055.3510547,1385.819188,118.5302141,1504.3494021,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3792.64946401,4286.14730071,2853.21800482,3346.7158415199997,67215.6836336,95856.16092892374,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,239.89145069,370.76450283,10314.565560600002,610.65595352,0.17641495499999998,1215.547618,565.3967994,1780.9444174,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,78.33376735,164.05197515999998,480.3524114000001,285.3529412,765.7053526,32134.63109,17368.3089,49502.93999,581.3213807,474.029674,1055.3510547,1385.819188,118.5302141,1504.3494021,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3792.64946401,4403.30541753,2853.21800482,3463.8739583399997,67215.6836336,104318.4374487079,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,239.89145069,522.17900991,13108.6275537,762.0704606,0.207576062,1215.547618,661.3818651,1876.9294831,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,86.66091566999998,172.37912347999995,480.3524114000001,285.3529412,765.7053526,32134.63109,19018.79105,51153.42214,581.3213807,602.4830509,1183.8044315999998,1385.819188,171.3867938,1557.2059817999998,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,3907.87041376,4669.940874360001,2968.43895457,3730.50941517,69047.4757402,116200.81226430072,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,239.89145069,700.03659393,16741.2344526,939.92804462,0.229346773,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.8666445,350.1946379,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,108.8666445,194.58485230999997,480.3524114000001,285.3529412,765.7053526,32134.63109,23420.07678,55554.70786999999,581.3213807,945.0253894,1526.3467701,1385.819188,312.3376732,1698.1568612,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,4215.12627977,5155.05432439,3275.69482058,4215.6228652,73932.25468809999,134152.5225032079,C0
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,239.89145069,831.66456909,19105.8947352,1071.55601978,0.262808537,1215.547618,917.3420403,2132.8896583,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.8666445,350.1946379,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,108.8666445,194.58485230999997,480.3524114000001,285.3529412,765.7053526,32134.63109,23420.07678,55554.70786999999,581.3213807,945.0253894,1526.3467701,1385.819188,312.3376732,1698.1568612,6795.395899,741.1764706,7536.5723696,7331.117876,285.3529412,7616.4708172,4215.12627977,5286.682299550001,3275.69482058,4347.25084036,73932.25468809999,142658.49474277624,C0
